//unidirectional edges//
50 1200
25 43 17
32 40 4
5 29 19
42 12 7
36 24 22
19 28 11
2 33 8
11 21 5
48 30 20
31 5 6
34 8 4
6 31 2
47 49 1
4 25 23
44 30 14
37 13 10
35 46 23
49 8 22
15 24 4
39 13 0
37 12 0
27 25 4
5 19 2
1 3 -1
29 6 12
24 39 13
35 19 1
43 22 10
30 35 3
41 21 17
37 16 -1
30 33 0
15 33 13
4 32 3
3 43 17
20 13 11
22 13 11
48 1 24
45 24 5
21 46 8
30 17 9
19 10 9
21 49 3
4 11 -1
8 22 7
14 23 3
30 11 16
36 2 5
40 11 7
5 13 1
5 15 17
28 45 9
27 31 9
9 19 12
11 19 20
46 37 22
46 17 17
23 39 6
33 19 21
4 36 12
14 48 6
3 35 5
26 18 19
35 42 16
38 27 17
43 26 23
5 14 25
30 6 13
1 26 24
23 9 17
20 27 5
5 32 22
23 3 9
46 27 4
7 10 7
43 1 10
44 20 22
10 8 2
47 23 14
36 13 1
30 37 23
43 30 7
2 42 11
27 43 12
6 47 14
35 41 13
28 13 2
45 25 3
18 9 17
44 34 1
38 47 0
45 1 13
47 34 8
7 37 12
4 46 -1
32 33 8
12 29 2
8 35 25
6 48 14
24 40 1
28 44 24
9 6 7
38 15 1
41 15 25
39 47 21
10 39 10
24 37 3
5 40 0
24 13 1
6 39 25
9 36 12
33 48 14
7 48 22
40 45 12
40 18 23
27 16 4
5 27 16
19 25 9
38 8 22
27 45 5
27 0 7
2 23 22
16 0 5
44 27 10
28 5 7
19 42 20
6 25 -1
41 19 6
3 28 1
6 11 19
33 24 15
28 17 17
41 28 20
37 23 23
15 13 11
34 20 17
15 19 12
35 13 16
23 27 3
14 17 7
3 0 20
22 15 14
8 29 0
8 7 13
35 17 7
44 21 22
33 25 5
46 10 22
5 8 4
34 24 1
3 44 15
37 44 19
8 0 14
43 4 21
26 47 5
35 40 18
22 26 0
20 49 15
1 19 14
2 19 16
8 37 19
3 16 6
19 7 7
4 24 25
45 26 7
7 40 7
18 37 -1
41 38 1
18 15 -1
21 0 2
47 31 -1
47 9 4
33 42 3
10 9 5
40 47 10
16 15 9
43 20 4
23 22 3
36 47 20
46 26 5
29 37 23
6 21 6
16 36 20
8 20 11
32 19 8
39 26 8
42 4 15
49 15 8
8 48 10
11 31 14
17 43 2
15 21 1
25 3 14
2 31 18
36 41 24
21 29 25
24 43 14
38 3 23
21 8 16
45 14 20
26 29 21
43 35 8
29 9 -1
21 47 13
26 42 8
16 48 17
1 31 25
4 17 20
42 25 16
21 48 7
16 39 5
19 21 19
40 31 0
16 21 0
29 7 16
15 4 9
22 2 11
39 35 6
6 49 0
5 24 19
43 49 18
0 20 9
45 20 15
21 5 23
40 6 22
34 39 24
26 8 21
18 34 7
12 16 19
22 39 14
9 40 19
28 24 3
45 44 20
1 2 13
16 40 21
12 36 17
12 40 2
40 4 21
0 34 14
41 49 20
30 42 8
21 14 4
22 48 2
26 7 6
24 49 14
40 46 -1
15 30 19
5 42 5
18 42 2
20 29 9
9 49 15
48 41 19
4 29 4
32 34 15
46 3 2
26 31 7
35 14 20
22 7 19
18 3 16
1 6 18
39 15 9
11 44 23
37 22 16
27 22 20
15 48 18
15 26 17
17 18 3
8 4 7
17 33 1
46 16 2
37 34 20
26 4 23
23 15 6
44 42 15
49 29 2
29 32 -1
34 17 21
44 22 25
10 5 6
27 48 4
45 5 4
31 14 11
1 25 20
49 35 6
33 11 6
44 19 25
40 15 23
18 8 16
0 26 0
5 36 0
11 34 4
1 17 1
21 9 18
21 26 10
43 42 20
22 47 13
38 44 10
46 33 8
15 32 18
35 9 3
6 41 16
12 6 25
16 32 9
36 7 23
22 24 9
36 35 9
20 14 -1
9 48 2
26 30 7
46 31 23
37 10 10
3 30 3
14 9 24
12 13 11
31 49 12
23 44 1
22 9 22
11 28 18
26 16 23
47 17 0
1 18 1
27 41 11
11 49 13
27 6 25
43 13 18
31 38 13
26 44 8
16 49 5
21 24 5
36 34 17
27 42 20
6 13 7
17 12 12
36 10 15
23 12 23
42 3 25
12 38 19
32 45 7
7 30 24
43 23 13
17 11 3
18 45 24
42 40 6
31 18 17
37 43 12
6 20 24
34 35 9
1 13 4
11 27 -1
28 49 18
19 43 3
18 39 11
15 6 10
35 2 6
24 44 13
41 39 3
34 19 8
4 47 5
49 33 -1
1 42 18
5 35 0
41 47 16
3 41 10
21 7 7
19 3 19
27 7 0
5 47 18
7 23 11
38 1 16
11 26 22
10 34 1
0 41 20
10 24 2
1 8 9
49 27 12
23 13 25
42 23 11
46 19 24
18 27 1
11 29 9
23 30 17
44 8 0
10 14 8
33 12 16
14 18 11
38 7 10
38 23 11
49 1 24
5 48 0
15 14 15
29 45 12
39 43 5
48 38 21
39 33 12
34 2 8
45 9 5
47 3 11
39 31 9
17 40 9
17 24 0
5 46 8
30 22 8
6 18 4
5 18 23
47 33 2
9 31 14
49 42 10
31 10 11
34 9 22
17 48 17
0 5 17
38 42 6
0 14 2
9 26 16
11 2 5
1 24 9
23 48 1
31 13 3
44 6 6
23 6 2
14 2 2
14 43 -1
6 37 10
25 34 8
2 37 14
35 1 24
7 45 13
21 28 19
36 43 0
45 41 22
20 7 5
30 24 1
40 48 19
36 0 3
25 7 7
36 38 6
1 33 12
47 44 16
1 16 23
29 47 12
27 14 5
19 14 -1
43 40 22
41 24 22
7 9 0
39 9 -1
29 36 22
31 42 4
21 1 0
18 36 14
33 21 16
26 37 2
37 32 8
42 22 7
39 25 10
26 27 13
33 45 25
47 42 11
1 20 21
36 3 2
12 31 2
3 6 18
39 38 19
19 36 18
42 13 12
24 31 10
39 44 23
45 36 14
4 27 8
25 35 6
26 48 5
20 22 16
3 13 13
9 13 13
3 32 11
37 9 17
37 28 5
20 31 22
38 40 19
2 18 13
29 28 25
2 9 6
18 24 6
4 7 5
41 40 19
8 3 13
19 30 1
21 40 17
10 1 8
19 23 14
48 34 16
1 5 16
47 24 10
12 24 8
43 15 6
9 27 11
23 46 3
30 14 11
36 30 24
30 38 6
29 34 22
44 9 11
0 19 25
19 6 -1
10 0 15
21 37 10
33 28 18
37 47 8
18 33 2
4 14 5
39 3 2
46 15 6
25 15 2
34 31 9
14 22 12
17 41 9
23 32 14
23 26 20
38 25 23
35 16 10
44 10 5
49 39 -1
20 11 7
47 25 22
6 14 5
46 20 13
33 22 0
16 13 3
39 5 25
4 18 20
24 19 24
49 22 16
39 37 21
20 35 11
40 1 15
27 35 4
34 12 6
31 3 21
33 41 15
30 8 25
44 17 15
4 39 13
36 44 18
5 4 23
29 30 10
34 13 12
22 10 18
12 30 15
38 6 4
20 37 22
32 6 10
26 40 10
40 10 15
31 17 12
46 39 11
5 17 24
8 2 12
2 21 7
1 7 4
3 22 16
7 12 20
18 20 25
14 8 11
23 29 21
25 49 7
32 10 10
26 36 6
24 2 24
35 38 11
27 12 12
3 9 14
42 10 19
47 1 16
23 35 17
22 28 7
39 14 8
43 9 23
45 48 8
0 1 -1
16 2 8
44 13 14
15 0 23
5 7 24
2 48 5
41 16 -1
29 46 21
5 23 0
31 48 3
22 34 7
11 14 23
49 17 19
22 45 16
22 19 6
0 29 20
26 12 2
15 31 19
42 11 11
14 46 4
38 21 5
34 26 14
40 23 10
34 40 6
30 34 6
24 27 0
26 17 7
45 43 15
27 40 15
12 18 19
32 13 22
48 3 9
48 20 1
28 31 16
7 15 20
42 45 12
32 20 15
32 42 16
49 12 6
30 45 19
0 44 8
44 35 1
45 12 16
33 34 10
12 48 19
11 16 17
44 12 17
36 33 14
42 17 5
32 25 3
23 17 18
31 44 16
46 2 19
28 40 18
47 7 2
7 6 8
20 5 13
35 0 6
10 30 11
38 14 23
46 41 1
46 42 11
36 25 25
26 13 1
21 35 24
4 1 11
25 14 24
0 23 22
7 49 24
4 37 20
38 11 3
6 10 1
46 25 20
49 5 13
40 13 20
20 3 16
5 12 10
31 16 24
45 0 13
30 40 4
49 32 17
48 28 15
43 8 25
14 44 11
4 35 25
8 24 15
21 20 12
19 4 19
24 16 9
18 49 7
42 9 3
49 38 25
45 13 8
44 43 13
19 16 7
42 0 7
6 0 1
29 15 8
46 36 2
28 43 5
39 36 14
14 12 4
29 25 13
35 47 15
45 8 15
8 41 20
30 13 20
2 5 6
33 29 4
8 36 12
33 31 14
45 34 1
1 39 3
40 37 24
28 6 9
32 41 1
46 43 22
5 22 22
15 2 17
48 35 4
44 40 4
32 17 0
43 41 9
18 30 1
31 32 12
30 0 12
43 18 16
19 48 17
9 8 -1
12 25 11
10 23 14
16 47 14
26 20 10
48 4 25
12 4 12
11 18 -1
22 32 8
16 42 9
9 0 12
2 47 21
26 28 8
9 11 23
41 11 13
30 25 23
11 7 18
39 17 10
7 17 24
32 44 4
38 32 20
36 6 21
35 37 23
34 15 17
16 20 9
40 33 10
48 13 3
32 18 16
0 39 21
9 30 11
28 42 18
44 16 2
44 25 0
23 16 12
29 35 22
20 40 4
24 32 25
3 33 23
49 34 23
35 45 21
4 49 1
41 1 20
27 10 9
16 8 16
24 11 20
32 26 18
31 21 8
43 5 5
4 23 7
9 33 9
11 37 8
1 37 15
16 6 24
2 26 3
19 18 4

